Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
6500,11/19/2007,firemenbenny,571,5.84%,346xx,FL,8 years,0
5500,11/19/2007,jherron,621,33.20%,368xx,AL,1 year,0
10000,11/19/2007,jsb219,648,7.30%,200xx,DC,5 years,0
25000,11/19/2007,lykins,576,18.05%,325xx,FL,1 year,0
2000,11/19/2007,orlando,550,21.74%,330xx,FL,10+ years,0
7000,11/19/2007,zdcloser6,458,17.29%,454xx,OH,< 1 year,0
5500,11/19/2007,lilys98stang,642,0%,411xx,KY,6 years,0
10000,11/19/2007,tbriglin,452,0%,148xx,NY,1 year,0
500,11/19/2007,davechef,445,4.31%,344xx,FL,1 year,0
6000,11/19/2007,Abcdpaz,0,0%,027xx,MA,< 1 year,0
8000,11/19/2007,erwi n,659,15.82%,117xx,NY,4 years,0
5000,11/19/2007,msweet,522,0.92%,462xx,IN,6 years,0
25000,11/19/2007,mjmlcc,717,20.77%,750xx,TX,6 years,0
25000,11/19/2007,kimsmom1,691,34.88%,282xx,NC,10+ years,0
3000,11/19/2007,zodiac,640,4.59%,802xx,CO,< 1 year,0
2000,11/19/2007,skauhane,509,8%,967xx,HI,< 1 year,0
2000,11/19/2007,emarange,592,2.33%,330xx,FL,1 year,0
4000,11/19/2007,kwikieLoan,592,21.72%,236xx,VA,9 years,0
25000,11/19/2007,AYAN NA,530,9.04%,104xx,NY,10+ years,0
4000,11/19/2007,amyyo9,424,12.92%,234xx,VA,2 years,0
25000,11/19/2007,investRE,639,27%,787xx,TX,< 1 year,0
6000,11/19/2007,bstn_guy,619,16.01%,024xx,MA,< 1 year,0
5000,11/19/2007,mreyesm,427,14.02%,880xx,NM,2 years,0
1200,11/20/2007,petewithadream,536,4.96%,954xx,CA,1 year,0
8000,11/20/2007,bigpop,535,20.66%,956xx,CO,8 years,0
25000,11/20/2007,DOS ARBOLITOS,651,25.32%,339xx,FL,10+ years,0
8000,11/20/2007,sinsha02,493,29.28%,853xx,AZ,< 1 year,0
2500,11/20/2007,lynsey73,550,18.81%,755xx,TX,3 years,0
3500,11/20/2007,margaritabuzz,551,3.42%,671xx,KS,10+ years,0
2500,11/20/2007,bruss73,586,9.70%,755xx,TX,6 years,0
5000,11/20/2007,cjmoran271,494,0%,310xx,GA,4 years,0
25000,11/20/2007,tonyd17,696,1.60%,065xx,CT,2 years,0
3500,11/20/2007,Ms Liz,563,0.67%,347xx,FL,1 year,0
25000,11/20/2007,Holistic,667,46%,801xx,CO,1 year,0
10000,11/20/2007,benjamin.black3,476,11.14%,300xx,GA,< 1 year,0
15000,11/20/2007,Sharon1968,677,52%,347xx,FL,< 1 year,0
2500,11/20/2007,Refinance Cashcall Loan,615,13.14%,207xx,MD,1 year,0
1500,11/20/2007,MLaPere,521,33.36%,327xx,FL,< 1 year,0
15000,11/20/2007,vulcanrider105,516,13.20%,701xx,LA,2 years,0
1000,11/20/2007,ronnie stewart,528,0.66%,380xx,TN,7 years,0
2500,11/20/2007,squintana842001,493,0%,328xx,FL,1 year,0
1500,11/20/2007,THAIFRY02,613,26.70%,335xx,FL,< 1 year,0
500,11/20/2007,copelandtaxi,0,0%,346xx,FL,< 1 year,0
2000,11/20/2007,abebe82,459,26.94%,381xx,TN,< 1 year,0
10000,11/20/2007,mrbill301970,490,7.20%,730xx,OK,10+ years,0
20000,11/20/2007,zmastertech,471,19.35%,044xx,ME,2 years,0
5000,11/20/2007,alimck,541,23.27%,020xx,MA,1 year,0
5000,11/20/2007,AsianTazia,581,3.82%,300xx,GA,1 year,0
10000,11/20/2007,gfransen101,523,1.66%,841xx,UT,7 years,0
2500,11/20/2007,sfmart02,637,18.35%,402xx,KY,< 1 year,0
1500,11/20/2007,biggene,0,1.38%,336xx,FL,5 years,0
10000,11/20/2007,sk4664,582,17.44%,064xx,CO,2 years,0
6000,11/20/2007,salespro,574,5.28%,260xx,WV,< 1 year,0
3575,11/20/2007,payoff high interest credit card,769,6.17%,430xx,OH,4 years,0
6000,11/20/2007,James Lee,574,13.18%,209xx,MD,< 1 year,0
5000,11/20/2007,marybelll,526,18.48%,333xx,FL,1 year,0
25000,11/20/2007,soup239,476,0%,352xx,AL,1 year,0
10000,11/20/2007,Drive-thru espresso business start-up,618,11.85%,980xx,WA,1 year,0
1500,11/20/2007,copernicus,562,0%,184xx,OH,4 years,0
6000,11/20/2007,Todd0628,460,15.09%,104xx,NY,10+ years,0
4000,11/20/2007,myron09,518,9.94%,112xx,NY,< 1 year,0
6000,11/20/2007,lopezdozer,427,10.04%,704xx,LA,1 year,0
5000,11/21/2007,erikamom,614,2.24%,124xx,NY,< 1 year,0
1700,11/21/2007,bookwormaddict,697,30.94%,852xx,AZ,< 1 year,0
5000,11/21/2007,k29rich,572,18.80%,476xx,IN,1 year,0
3200,11/21/2007,Stevefriend,532,6.72%,917xx,CO,9 years,0
7000,11/21/2007,Jeffy,604,44.26%,112xx,NY,10+ years,0
8000,11/21/2007,richf62,495,4.29%,782xx,TX,1 year,0
6500,11/21/2007,scienceboy76,611,13.94%,021xx,MA,1 year,0
2500,11/21/2007,RyanW,628,36.52%,985xx,WA,5 years,0
2000,11/21/2007,Purchase a New Home,587,36.80%,443xx,OH,3 years,0
18000,11/21/2007,Simerman.Chris,617,11.20%,461xx,IN,2 years,0
2000,11/21/2007,Lisab131,616,6.92%,068xx,CT,1 year,0
35000,11/21/2007,evildragons,571,61.06%,783xx,TX,4 years,0
15000,11/21/2007,agumosh85,617,4.80%,785xx,TX,2 years,0
21000,11/21/2007,family matters,688,0.51%,021xx,MA,< 1 year,0
25000,11/21/2007,salongirl,433,0.68%,344xx,FL,< 1 year,0
15000,11/21/2007,TheNewRich,662,21.04%,212xx,MD,< 1 year,0
500,11/21/2007,katpiaz9,518,0%,020xx,MA,< 1 year,0
15000,11/21/2007,brandysutherland,638,47.50%,773xx,TX,1 year,0
5000,11/21/2007,mmocandy,476,210.59%,908xx,CA,3 years,0
15000,11/21/2007,darryllotten,574,18.68%,773xx,TX,1 year,0
2500,11/21/2007,Need money for a Car,536,9.60%,210xx,MD,< 1 year,0
1000,11/21/2007,ericalpha1,427,5.28%,604xx,IN,< 1 year,0
7000,11/21/2007,VANSICKLE11,438,8.67%,750xx,TX,< 1 year,0
2000,11/21/2007,Cavi81,602,16.17%,282xx,NC,2 years,0
7500,11/21/2007,KingTut,616,7.33%,302xx,GA,1 year,0
3500,11/21/2007,GeorgiaPeach,619,39.80%,300xx,GA,< 1 year,0
3800,11/21/2007,MyLoan,0,1.82%,024xx,MA,< 1 year,0
6000,11/21/2007,Chrisi,652,23.07%,079xx,NJ,< 1 year,0
24000,11/21/2007,Redo Kitchen In My Home...,670,18.30%,331xx,FL,7 years,0
30000,11/21/2007,debt_consolidation,,100%,902xx,FL,10+ years,0
1200,11/21/2007,peedittle,654,18.87%,453xx,OH,7 years,0
6000,11/21/2007,misskitty1205,454,0%,147xx,NY,7 years,0
11000,11/21/2007,baldwism,528,24.64%,080xx,NJ,2 years,0
7000,11/21/2007,FRISKY10,0,1.26%,328xx,FL,< 1 year,0
30000,11/21/2007,debt_consolidation,,100%,902xx,FL,10+ years,0
3000,11/21/2007,alphaberns,469,32.36%,346xx,FL,3 years,0
12000,11/22/2007,ReliableGirl,656,42.79%,088xx,NJ,1 year,0
25000,11/22/2007,HelpMePlease,601,0.81%,088xx,NJ,< 1 year,0
10000,11/22/2007,2700green,602,25.18%,952xx,CA,10+ years,0
1500,11/22/2007,segibson,519,0%,307xx,GA,1 year,0
15000,11/22/2007,sherry69,467,3.80%,327xx,FL,< 1 year,0
8000,11/22/2007,gigibs07,521,52.90%,338xx,FL,< 1 year,0
6000,11/22/2007,jaanu,614,11.76%,330xx,FL,1 year,0
10000,11/22/2007,dalbro87,556,41.34%,292xx,SC,10+ years,0
10000,11/22/2007,taterbug,564,6.10%,300xx,GA,3 years,0
2000,11/22/2007,lizard,606,29.45%,470xx,IN,10+ years,0
3000,11/22/2007,Bmon63,566,31.83%,347xx,FL,4 years,0
3000,11/22/2007,brianflax,601,15.55%,217xx,MD,< 1 year,0
4000,11/22/2007,ualcrew57,476,6.37%,024xx,MA,2 years,0
25000,11/22/2007,ACAPPUCCIO,684,7.34%,676xx,KS,1 year,0
500,11/22/2007,shawna,411,16.72%,320xx,FL,4 years,0
10000,11/22/2007,jrholland24,529,14.95%,026xx,MA,1 year,0
25000,11/22/2007,bhagya,638,14.29%,330xx,FL,2 years,0
500,11/22/2007,ItsHim,608,16.99%,765xx,FL,1 year,0
4000,11/22/2007,shawn31789,0,0%,110xx,NY,2 years,0
4000,11/22/2007,shasha,571,6.86%,352xx,AL,1 year,0
800,11/22/2007,dacapo,0,36.92%,027xx,MA,1 year,0
500,11/22/2007,zanebroley,588,0%,708xx,LA,3 years,0
25000,11/22/2007,kourtnie,597,0%,305xx,GA,< 1 year,0
10000,11/22/2007,rusty45,616,6%,657xx,MO,1 year,0
5000,11/22/2007,ms321,638,2.93%,900xx,CA,6 years,0
600,11/22/2007,nelexus75,511,24.19%,027xx,MA,1 year,0
15000,11/22/2007,KPMartin,661,36.75%,640xx,MO,10+ years,0
5000,11/22/2007,kellyewalker23,652,22.31%,328xx,FL,< 1 year,0
25000,11/22/2007,thomas gatehouse,497,45%,830xx,WY,< 1 year,0
10000,11/22/2007,rihadad2,490,7.06%,730xx,OK,10+ years,0
2500,11/22/2007,mrluvdoc,459,10.12%,349xx,FL,3 years,0
12000,11/22/2007,sherri,538,62.82%,640xx,MO,5 years,0
5000,11/23/2007,mitch56,571,13.21%,850xx,AZ,1 year,0
5000,11/23/2007,sheldon1942,606,3.43%,112xx,NY,10+ years,0
4000,11/23/2007,louism,530,18.27%,662xx,KS,3 years,0
2000,11/23/2007,stylesjose72,450,0%,104xx,NY,6 years,0
10000,11/23/2007,gigglebug89,454,3.85%,471xx,IN,< 1 year,0
2000,11/23/2007,rucifi,495,9%,530xx,WI,10+ years,0
5000,11/23/2007,nicole73,600,5.95%,444xx,OH,2 years,0
10000,11/23/2007,mamapilla,427,3.08%,088xx,NJ,5 years,0
6000,11/23/2007,Elyse,651,23.51%,121xx,NY,< 1 year,0
25000,11/23/2007,javadeli,697,17.13%,271xx,NC,10+ years,0
9000,11/23/2007,CAubert20,626,8.51%,708xx,LA,1 year,0
1000,11/23/2007,aus409,0,24.80%,652xx,MO,2 years,0
18000,11/23/2007,ARK1,539,48.96%,365xx,AL,1 year,0
5000,11/23/2007,grocerymnky,464,11.32%,275xx,NC,< 1 year,0
10000,11/23/2007,grandpop2k8,0,0%,198xx,CT,4 years,0
600,11/23/2007,martinneke,514,0%,322xx,FL,< 1 year,0
25000,11/23/2007,patricia,684,81.42%,301xx,GA,4 years,0
6300,11/23/2007,Noles1980,631,21.92%,354xx,AL,3 years,0
25000,11/23/2007,Reputation1,691,17.43%,801xx,CO,10+ years,0
15000,11/23/2007,stephane,495,24.85%,800xx,CO,< 1 year,0
6000,11/23/2007,zooeth1,567,6.84%,335xx,FL,1 year,0
10000,11/23/2007,hekkuva,423,21.46%,336xx,FL,< 1 year,0
7000,11/23/2007,sleepinglion,575,23.53%,021xx,MA,2 years,0
5000,11/23/2007,other,628,17.81%,070xx,NJ,4 years,0
6000,11/23/2007,other,674,35.13%,080xx,NJ,8 years,0
20000,11/23/2007,debt_consolidation,710,36.92%,333xx,FL,8 years,0
10000,11/23/2007,debt_consolidation,631,63.88%,100xx,NY,10+ years,0
4000,11/23/2007,debt_consolidation,585,0%,713xx,LA,< 1 year,0
2000,11/23/2007,debt_consolidation,696,30.53%,027xx,MA,6 years,0
1500,11/23/2007,debt_consolidation,641,38.21%,633xx,MO,2 years,0
16000,11/23/2007,debt_consolidation,623,27.67%,631xx,MO,2 years,0
10000,11/23/2007,debt_consolidation,696,39.25%,547xx,WI,10+ years,0
20000,11/23/2007,major_purchase,687,153.70%,100xx,NY,10+ years,0
3000,11/23/2007,major_purchase,658,16.38%,631xx,MO,< 1 year,0
2000,11/23/2007,jeffreytucker79,687,0%,310xx,GA,< 1 year,0
20000,11/23/2007,major_purchase,,100%,114xx,NY,10+ years,0
8000,11/23/2007,debt_consolidation,692,34.55%,144xx,NY,6 years,0
16000,11/23/2007,other,663,28.11%,073xx,NJ,4 years,0
10000,11/23/2007,other,,100%,328xx,FL,6 years,0
10000,11/23/2007,debt_consolidation,659,36.02%,320xx,FL,< 1 year,0
1900,11/23/2007,other,640,2.80%,133xx,NY,8 years,0
13000,11/23/2007,debt_consolidation,,100%,283xx,NC,< 1 year,0
8000,11/23/2007,debt_consolidation,610,100%,331xx,FL,< 1 year,0
7500,11/23/2007,"I have increased the value of my home from $455,000 to an appraised value of $535,000 in 15 months through home improvement. I am looking for cash to continue my projects. This is not a flip, this is my home and I am constantly upgrading.",,15.07%,207xx,MD,10+ years,0
20000,11/23/2007,other,,100%,142xx,NY,4 years,0
5000,11/23/2007,home_improvement,648,100%,708xx,LA,< 1 year,0
20000,11/23/2007,debt_consolidation,633,22.48%,121xx,NY,4 years,0
20000,11/23/2007,I want to consolidate two loans with a high interest rate. @ 23.99%,650,22.10%,703xx,LA,1 year,0
16500,11/23/2007,debt_consolidation,765,41.19%,070xx,NJ,10+ years,0
15000,11/23/2007,debt_consolidation,676,18.14%,546xx,WI,10+ years,0
10000,11/23/2007,GTFCU,571,70.70%,778xx,TX,10+ years,0
20000,11/23/2007,debt_consolidation,658,14.12%,346xx,FL,4 years,0
15000,11/23/2007,liljudy0514,598,28.42%,331xx,FL,< 1 year,0
20000,11/23/2007,lh2443,535,17.04%,117xx,NY,5 years,0
20000,11/23/2007,debt_consolidation,638,123.23%,117xx,NY,10+ years,0
10000,11/23/2007,rolo,656,0.15%,112xx,NY,4 years,0
2000,11/23/2007,debt_consolidation,670,30.90%,461xx,IN,4 years,0
5000,11/23/2007,home_improvement,647,47.56%,208xx,MD,10+ years,0
800,11/23/2007,Ronnie,520,0%,109xx,NY,2 years,0
2500,11/23/2007,wynnl456,552,14.02%,274xx,NC,2 years,0
7000,11/23/2007,hondajen,536,11.40%,802xx,CO,10+ years,0
5000,11/23/2007,TJB1436,634,7.61%,349xx,FL,4 years,0
17000,11/23/2007,debt_consolidation,,100%,209xx,MD,10+ years,0
2000,11/23/2007,JBRADY12,433,1.36%,786xx,TX,9 years,0
5000,11/23/2007,jbr91275,635,0%,786xx,TX,< 1 year,0
10000,11/23/2007,debt_consolidation,718,100%,282xx,NC,< 1 year,0
9000,11/23/2007,home_improvement,637,14.39%,286xx,NC,2 years,0
8500,11/23/2007,debt_consolidation,680,18.60%,462xx,IN,2 years,0
6000,11/23/2007,sjsmom,496,5.60%,746xx,OK,1 year,0
2500,11/23/2007,kylonia,563,38.15%,975xx,OR,10+ years,0
1500,11/23/2007,Brian ,555,8.40%,977xx,OH,< 1 year,0
2500,11/24/2007,chris32224,485,33.80%,401xx,KY,5 years,0
10000,11/24/2007,justme,508,2.47%,370xx,TN,3 years,0
6000,11/24/2007,ZITZME,544,11.05%,335xx,FL,3 years,0
3000,11/24/2007,other,695,29.01%,038xx,NH,4 years,0
12000,11/24/2007,loreshd,644,1.06%,070xx,NJ,1 year,0
4000,11/24/2007,curtis24389,0,0%,045xx,ME,< 1 year,0
4000,11/24/2007,shawreb,447,15.60%,880xx,NM,1 year,0
25000,11/24/2007,JNBryant,555,0.50%,275xx,NC,10+ years,0
2500,11/24/2007,My Car broke down on me.,685,0.75%,327xx,FL,2 years,0
15000,11/24/2007,Dblhawk,645,58.80%,656xx,MO,2 years,0
10000,11/24/2007,les129,662,6.95%,826xx,WY,3 years,0
5000,11/24/2007,Start Up a Vehicle Broker Buissness,505,1.20%,300xx,GA,4 years,0
14000,11/24/2007,debt_consolidation,742,26.59%,547xx,WI,10+ years,0
10200,11/24/2007,army_mom25,604,21.59%,808xx,CO,6 years,0
2000,11/24/2007,ambrosia85,412,3.36%,212xx,MD,< 1 year,0
9000,11/24/2007,vrstu2,531,48.44%,434xx,OH,< 1 year,0
7000,11/24/2007,jmarshall,533,25%,232xx,VA,1 year,0
1500,11/24/2007,other,662,28.95%,276xx,NC,10+ years,0
7000,11/24/2007,debt_consolidation,,100%,103xx,NY,1 year,0
4000,11/24/2007,standridge,593,0.95%,381xx,TN,10+ years,0
500,11/24/2007,juaniseas,601,9.77%,461xx,IN,5 years,0
500,11/24/2007,jasonjar1981,449,1.38%,554xx,MN,1 year,0
25000,11/24/2007,ladycochran,465,21.64%,280xx,NC,10+ years,0
5000,11/24/2007,Undertattood,483,18.58%,440xx,OH,< 1 year,0
1500,11/24/2007,stormyate2,410,13.73%,549xx,WI,7 years,0
1500,11/24/2007,balandis,528,15.63%,735xx,OK,< 1 year,0
5000,11/24/2007,helpf,511,0%,100xx,NY,10+ years,0
7500,11/24/2007,tnwilliamsk,655,14.94%,019xx,MA,10+ years,0
3000,11/24/2007,lprivott,410,17.79%,234xx,VA,2 years,0
15000,11/24/2007,home_improvement,634,9.06%,303xx,GA,8 years,0
1000,11/24/2007,trich88,615,3.22%,303xx,GA,5 years,0
14500,11/24/2007,debt_consolidation,669,47.76%,335xx,FL,< 1 year,0
3000,11/24/2007,mcp113357,454,20.81%,787xx,TX,2 years,0
2500,11/24/2007,other,776,26.73%,301xx,GA,8 years,0
7000,11/24/2007,Ebsixten,433,4.71%,802xx,CO,< 1 year,0
500,11/24/2007,janene 55,506,3.10%,807xx,CO,6 years,0
1500,11/24/2007,jireland108,537,0%,100xx,NY,2 years,0
2000,11/24/2007,momma2kj,479,8.36%,195xx,OH,2 years,0
9000,11/24/2007,debt_consolidation,688,100%,209xx,MD,< 1 year,0
10000,11/24/2007,other,745,26.21%,334xx,FL,6 years,0
4000,11/24/2007,greyhorse,521,26.43%,786xx,TX,5 years,0
10000,11/24/2007,leander03,472,23.19%,981xx,WA,< 1 year,0
2000,11/24/2007,echo,527,13%,067xx,CT,< 1 year,0
10000,11/24/2007,smitty30,620,0%,070xx,NJ,10+ years,0
15000,11/24/2007,debt_consolidation,,100%,310xx,GA,1 year,0
15000,11/24/2007,superduper79,545,25.20%,201xx,VA,1 year,0
21000,11/24/2007,debt_consolidation,713,30.03%,322xx,FL,1 year,0
10000,11/24/2007,debt_consolidation,651,23.83%,681xx,NE,1 year,0
5000,11/25/2007,rndan,671,17.98%,067xx,CT,3 years,0
20000,11/25/2007,Jenna21,0,0%,983xx,WA,3 years,0
7800,11/25/2007,gamersadvantage,502,22.36%,853xx,AZ,5 years,0
2500,11/25/2007,countryboy37,486,2.40%,270xx,NC,10+ years,0
15000,11/25/2007,Anna,711,64.29%,232xx,VA,< 1 year,0
15000,11/25/2007,major_purchase,747,41.41%,320xx,FL,10+ years,0
25000,11/25/2007,asphaltjohn,576,17.87%,630xx,MO,5 years,0
3000,11/25/2007,kimmyeds,687,8.70%,074xx,NJ,1 year,0
5000,11/25/2007,TITONE,573,15.86%,631xx,MO,< 1 year,0
5000,11/25/2007,roxbrady,405,18.64%,329xx,FL,9 years,0
10000,11/25/2007,other,,100%,272xx,NC,10+ years,0
4500,11/25/2007,feedman,561,11.13%,687xx,NE,2 years,0
3000,11/25/2007,debt_consolidation,648,30.10%,212xx,MD,< 1 year,0
9900,11/25/2007,maldoman123,674,0.64%,077xx,NJ,2 years,0
3500,11/25/2007,friendly,634,20.27%,293xx,SC,3 years,0
16000,11/25/2007,home_improvement,715,60.46%,318xx,GA,4 years,0
15000,11/25/2007,other,641,47.12%,326xx,FL,8 years,0
12000,11/25/2007,wirtanenj,628,29.25%,088xx,NJ,1 year,0
16000,11/25/2007,jdewitt71,698,18.69%,461xx,IN,3 years,0
7000,11/25/2007,Kat1234,524,6.46%,104xx,NY,4 years,0
5000,11/25/2007,asslick123,422,0%,445xx,OH,2 years,0
5000,11/25/2007,other,,100%,660xx,KS,4 years,0
4500,11/25/2007,JennP581,424,13.30%,458xx,OH,1 year,0
5000,11/25/2007,JayP2,606,5.94%,444xx,OH,10+ years,0
1500,11/25/2007,debt_consolidation,,100%,301xx,GA,8 years,0
900,11/25/2007,italygrl1,528,0%,124xx,NY,< 1 year,0
1500,11/25/2007,William Vanhelsing,442,10.50%,234xx,VA,< 1 year,0
500,11/25/2007,jlyon148,464,5.75%,641xx,MO,2 years,0
17000,11/25/2007,major_purchase,726,0.30%,207xx,MD,4 years,0
7000,11/25/2007,I would just like to get a loan to pay off about three credit cards with a total balance of 7000.00.  I am currently working full time and going to school full time and feel that I am throwing money away at such a high rate.,675,45.60%,330xx,FL,1 year,0
6000,11/25/2007,slgibbs2003,590,27.78%,294xx,SC,3 years,0
22000,11/25/2007,jay4899,584,32.01%,630xx,MO,10+ years,0
6000,11/25/2007,willie1960,721,14.98%,559xx,MN,10+ years,0
18000,11/25/2007,debt_consolidation,,100%,465xx,IN,10+ years,0
5025,11/25/2007,lady Y,639,12.97%,021xx,MA,< 1 year,0
22000,11/25/2007,kelela,605,16.90%,655xx,MO,7 years,0
12000,11/25/2007,TJKMS,531,12.39%,217xx,MD,2 years,0
2000,11/25/2007,major_purchase,654,15%,080xx,NJ,10+ years,0
20000,11/25/2007,RBJackets,606,26.55%,303xx,GA,2 years,0
25000,11/25/2007,DJProudfoot09,487,42.13%,233xx,VA,< 1 year,0
4300,11/25/2007,major_purchase,670,90.63%,278xx,NC,2 years,0
15000,11/25/2007,Toni,506,0.40%,296xx,SC,10+ years,0
1000,11/25/2007,home_improvement,674,33.32%,117xx,NY,10+ years,0
16000,11/25/2007,debt_consolidation,640,57.06%,328xx,FL,< 1 year,0
4150,11/25/2007,ktorrey,530,20.13%,670xx,KS,10+ years,0
5000,11/25/2007,gymshoe,579,14.76%,606xx,IN,10+ years,0
1000,11/25/2007,scromwell,0,0%,112xx,NY,1 year,0
2000,11/25/2007,feb 11 2000,494,21.90%,334xx,FL,1 year,0
2000,11/25/2007,bewiebe,471,8.16%,481xx,ME,1 year,0
18000,11/25/2007,debt_consolidation,704,30.56%,665xx,KS,6 years,0
7500,11/25/2007,mamabear,486,36.05%,114xx,NY,7 years,0
5000,11/25/2007,blueeyes72,643,4.27%,317xx,GA,< 1 year,0
4000,11/25/2007,BABYBEAR,494,18.10%,114xx,NY,10+ years,0
6500,11/25/2007,other,654,45.25%,021xx,MA,10+ years,0
12000,11/25/2007,debt_consolidation,689,29.69%,100xx,NY,10+ years,0
10000,11/25/2007,agent,433,7.94%,473xx,IN,< 1 year,0
3000,11/25/2007,debt_consolidation,537,34.13%,324xx,FL,10+ years,0
5500,11/25/2007, pay off credit cards and taxes,687,8.72%,333xx,FL,3 years,0
20000,11/25/2007,other,689,44.23%,112xx,NY,1 year,0
2000,11/25/2007,sarahforever,455,8.96%,327xx,FL,1 year,0
12500,11/25/2007,swaguy1997,620,28.27%,666xx,KS,2 years,0
15000,11/26/2007,other,659,0%,637xx,MO,10+ years,0
20000,11/26/2007,djmgirl313,421,2.47%,333xx,FL,1 year,0
25000,11/26/2007,porchlady,436,0.90%,473xx,IN,< 1 year,0
2000,11/26/2007,momsgirl,415,2.16%,631xx,MO,2 years,0
6000,11/26/2007,other,,100%,144xx,NY,10+ years,0
5500,11/26/2007,leroywilliams,412,27.83%,327xx,FL,1 year,0
5000,11/26/2007,home_improvement,619,0.99%,070xx,NJ,10+ years,0
3000,11/26/2007,other,649,16.99%,285xx,NC,8 years,0
10000,11/26/2007,other,,100%,021xx,MA,10+ years,0
1500,11/26/2007,other,669,19.68%,148xx,NY,1 year,0
24000,11/26/2007,debt_consolidation,680,24.70%,088xx,NJ,10+ years,0
2500,11/26/2007,lildmbmonkey,542,18.04%,330xx,FL,< 1 year,0
25000,11/26/2007,angel828,479,34.40%,334xx,FL,4 years,0
7000,11/26/2007,BBWolf,469,11.64%,871xx,NM,1 year,0
5000,11/26/2007,poo,603,0%,232xx,VA,5 years,0
5000,11/26/2007,other,574,15.15%,280xx,NC,2 years,0
3200,11/26/2007,jtoyota,521,10.17%,014xx,MA,10+ years,0
3000,11/26/2007,debt_consolidation,490,11.87%,010xx,MA,2 years,0
25000,11/26/2007,sal,516,17.63%,333xx,FL,10+ years,0
21000,11/26/2007,other,,100%,072xx,NJ,10+ years,0
3500,11/26/2007,acbeck7256,473,2.90%,335xx,FL,6 years,0
5500,11/26/2007,tilttap,628,24.24%,451xx,OH,4 years,0
15000,11/26/2007,morrill,675,26.53%,782xx,TX,2 years,0
5000,11/26/2007,other,689,32.90%,023xx,MA,2 years,0
15000,11/26/2007,home_improvement,663,19.83%,085xx,NJ,10+ years,0
15000,11/26/2007,debt_consolidation,653,27.79%,070xx,NJ,4 years,0
10000,11/26/2007,debt_consolidation,635,5.27%,801xx,CO,< 1 year,0
5000,11/26/2007,In a Fix 2,444,1.68%,326xx,FL,10+ years,0
1500,11/26/2007,other,635,0.63%,325xx,FL,2 years,0
4500,11/26/2007,Finance380,670,18.64%,759xx,TX,< 1 year,0
7000,11/26/2007,other,622,8.58%,083xx,NJ,4 years,0
25000,11/26/2007,made2415,0,0%,073xx,NJ,< 1 year,0
4400,11/26/2007,cebenitezjr,701,48.67%,770xx,TX,< 1 year,0
15000,11/26/2007,debt_consolidation,646,21.64%,120xx,NY,2 years,0
2500,11/26/2007,kaiya36,486,27.18%,441xx,OH,< 1 year,0
9500,11/26/2007,debt_consolidation,607,65.46%,539xx,WI,6 years,0
10000,11/26/2007,debt_consolidation,623,13.27%,112xx,NY,2 years,0
5000,11/26/2007,major_purchase,690,0%,210xx,MD,6 years,0
10000,11/26/2007,major_purchase,,100%,117xx,NY,6 years,0
5000,11/26/2007,needalittlehelp,567,16.19%,853xx,AZ,< 1 year,0
10000,11/26/2007,ajmora,646,14.75%,019xx,MA,4 years,0
7000,11/26/2007,other,680,4.85%,282xx,NC,10+ years,0
5000,11/26/2007,Yanksgt723,484,4.20%,117xx,NY,2 years,0
10000,11/26/2007,other,733,100%,088xx,NJ,< 1 year,0
4500,11/26/2007,major_purchase,643,28.50%,334xx,FL,< 1 year,0
15725,11/26/2007,Personal Loan,672,20.43%,117xx,NY,10+ years,0
10000,11/26/2007,debt_consolidation,624,47.31%,080xx,NJ,4 years,0
15000,11/26/2007,debt_consolidation,,100%,325xx,FL,4 years,0
6180,11/26/2007,debt_consolidation,,100%,275xx,NC,1 year,0
5000,11/26/2007,garrett123,493,5.03%,704xx,LA,< 1 year,0
25000,11/26/2007,kamyers30,699,29.72%,212xx,MD,3 years,0
4000,11/26/2007,major_purchase,668,42.19%,479xx,IN,< 1 year,0
2000,11/26/2007,other,627,6.17%,700xx,LA,< 1 year,0
10830,11/26/2007,debt_consolidation,622,12.05%,287xx,NC,10+ years,0
6000,11/26/2007,b_moradi7,599,11.23%,210xx,MD,1 year,0
24000,11/26/2007,debt_consolidation,718,8.56%,542xx,WI,2 years,0
6000,11/26/2007,My Son's Surgery!,705,20.40%,210xx,MD,1 year,0
17000,11/26/2007,debt_consolidation,635,19.57%,276xx,NC,2 years,0
3500,11/26/2007,debt_consolidation,630,5.15%,333xx,FL,< 1 year,0
10000,11/26/2007,dupa2007,619,28.27%,322xx,FL,10+ years,0
22300,11/26/2007,debt_consolidation,662,74.63%,137xx,NY,10+ years,0
15000,11/26/2007,debt_consolidation,634,55.37%,070xx,NJ,2 years,0
3500,11/26/2007,home_improvement,772,100%,287xx,NC,< 1 year,0
20000,11/26/2007,mrgjm,487,14.96%,088xx,NJ,10+ years,0
15000,11/26/2007,DARKIE1,675,27.56%,112xx,NY,6 years,0
6000,11/26/2007,other,,100%,333xx,FL,10+ years,0
20000,11/26/2007,other,685,2.66%,300xx,GA,10+ years,0
15000,11/26/2007,debt_consolidation,683,28.61%,462xx,IN,< 1 year,0
25000,11/26/2007,deniumrose,507,3.10%,727xx,AR,6 years,0
